experiment,,AZI1,,,,AZI2,,,,PAI1,,,PAI2,,,DEH1,,,DEI1,,,GAH1,,,GAI1,,,NCI1,,,NYI2,,,TXH1,,,TXI1,,,,IAH1,IAH2,IAH3,IAH4,IAI1,IAI2,IAI3,IAI4,ILH1,ILI1,ILH2,INH1,INI1,KSH1,KSI1,MNH1,MNI1,MOH1,MOH2,MOI1,MOI2,NCH1,NEH2,NEH3,NEH1,NEH4,NYH2,NYH3,NYH1,NYI1,OHH1,ONH2,ONH1,SDH1,SDI1,TXI2,TXH2,TXI3,WIH1,WIH2,WII1,WII2
Irrigation/Fertigation (yes/no),,Yes,,,,Yes,,,,yes,,,yes,,,Yes,,,Yes,,,Yes,,,Yes,,,Yes,,,Yes,,,Yes,,,Yes,,,,NO,NO,No,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Weather station documents irrigation? (yes/no),,No,,,,No,,,,No,,,No,,,Yes,,,Yes,,,Yes,,,Yes,,,Yes,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irrigation applications,,Irrigation dates,Amount (inches),,,Irrigation dates,Amount (inches),,,Irrigation dates,Amount (inches),,Irrigation dates,Amount (inches),,Irrigation dates,Amount (inches),,Irrigation dates,Amount (inches),,Irrigation dates,Amount (inches),,Irrigation dates,Amount (inches),,Irrigation dates,Amount (inches),,Irrigation dates,Amount (inches),,Irrigation dates,Amount (inches),,Irrigation dates,Amount (inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application #1,,5/26/15,1,,,5/26/15,1,,,8/27/15,0.36,,8/27/15,0.36,,5/15/15,0.5,,7/23/15,0.59,,4/6/15,1,,5/20/15,1,,1/6/15,1,,8/27/15,1,,no applications due to adequate in-season rainfall,,,no applications due to adequate in-season rainfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application #2,,5/28/15,2,,,5/28/15,2,,,9/2/15,0.24,,9/2/15,0.24,,5/28/15,0.3,,8/3/15,0.71,,5/8/15,1,,6/16/15,1,,7/1/15,1,,9/3/15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application #3,,5/31/15,0.5,,,5/31/15,0.5,,,9/4/15,0.36,,9/4/15,0.36,,6/16/15,0.8,,8/5/15,0.71,,5/19/15,1,,,,,7/20/15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application #4,,6/1/15,0.75,,,6/1/15,0.75,,,,,,,,,7/1/15,0.3,,8/7/15,0.71,,6/2/15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application #5,,6/4/15,0.5,,,6/4/15,0.5,,,,,,,,,7/7/15,0.3,,8/16/15,0.71,,6/17/15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application #6,,6/7/15,1.25,,,6/7/15,1.25,,,,,,,,,7/13/15,0.5,,8/17/15,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
